Date,Open Price,High,Low,Close Price,Total Traded Quantity,SMA,EWMA5,MiddleBand,UpperBand,LowerBand,RSI,MFI,ForceIndex,ATR,EMV
2016-05-23,133000.0,134500.0,133000.0,133000.0,310458,133400.0,133598.69658005575,133400.0,135567.9483388679,131232.0516611321,47.4214160844961,35.072209203551566,310458000.0,2500.0,-257854348.08690977
2016-05-24,133000.0,135000.0,132000.0,133500.0,355717,133200.0,133565.79772003717,133200.0,135016.59021245848,131383.40978754152,60.735726262170175,34.52544468200108,177858500.0,2250.0,15368403.176602095
2016-05-25,134500.0,137000.0,134000.0,135000.0,500528,133600.0,134043.86514669145,133600.0,135987.46727726265,131212.53272273735,84.41498840014488,35.79663664066834,750792000.0,3000.0,493946186.04517883
2016-05-26,136000.0,137000.0,134500.0,135000.0,342299,133700.0,134362.57676446097,133700.0,136307.68096208107,131092.31903791893,84.41498840014488,44.78250203537298,0.0,2750.0,690661521.4708967
2016-05-27,136000.0,136500.0,135000.0,136000.0,346406,134500.0,134908.38450964066,134500.0,136949.4897427832,132050.5102572168,94.02460404496205,52.0673052039492,346406000.0,2000.0,91294453.09510154
2016-05-30,136000.0,137500.0,135000.0,136500.0,474129,135200.0,135438.9230064271,135200.0,137502.17288664426,132897.82711335574,96.30371132826795,53.08323682758721,237064500.0,2000.0,131820664.84016003
2016-05-31,136500.0,139500.0,135000.0,139500.0,1734508,136400.0,136792.61533761807,136400.0,140101.35110466435,132698.64889533565,99.33722435881452,62.65613552281071,5203524000.0,3500.0,261540447.0492937
2016-06-01,137500.0,138500.0,136500.0,138000.0,507997,137000.0,137195.07689174538,137000.0,140535.53390593274,133464.46609406726,54.56015991592583,61.88562848863306,-761995500.0,3250.0,178932671.26162854
2016-06-02,138500.0,139000.0,136500.0,138000.0,419054,137600.0,137463.38459449692,137600.0,140374.8873851023,134825.1126148977,54.56015991592583,68.70169735718014,0.0,2250.0,123785617.14958978
2016-06-03,138000.0,139500.0,137500.0,138500.0,352778,138100.0,137808.92306299796,138100.0,140267.9483388679,135932.0516611321,71.6180316682367,68.5329018964433,176389000.0,2250.0,287171019.3737623
2016-06-07,138500.0,139500.0,137500.0,139500.0,608452,138700.0,138372.61537533198,138700.0,140216.57508881032,137183.42491118968,88.65437630364045,74.03602332418956,608452000.0,2000.0,212598291.27666742
2016-06-08,138500.0,141500.0,138500.0,139500.0,598656,138700.0,138748.41025022132,138700.0,140216.57508881032,137183.42491118968,88.65437630364045,82.33933852957155,0.0,2500.0,375841885.8242468
2016-06-09,139500.0,140500.0,137500.0,139000.0,578177,138900.0,138832.27350014754,138900.0,140203.84048104053,137596.15951895947,40.288199428357395,75.0932492619011,-289088500.0,3000.0,116405761.592394
2016-06-10,138500.0,140000.0,138000.0,139000.0,350588,139100.0,138888.1823334317,139100.0,139936.66002653408,138263.33997346592,40.288199428357395,76.01813105000437,0.0,2500.0,-259436124.23185235
2016-06-13,138000.0,138500.0,135500.0,135500.0,476958,138500.0,137758.7882222878,138500.0,141891.16499156263,135108.83500843737,2.4753670047954586,70.36667696390846,-1669353000.0,2500.0,-628986200.0427706
2016-06-14,135500.0,138500.0,135000.0,138500.0,431039,138300.0,138005.85881485854,138300.0,141509.36130717624,135090.63869282376,62.61930865933288,75.15902211490572,1293117000.0,3250.0,-730485136.3339183
2016-06-15,138000.0,139500.0,135000.0,135500.0,409607,137500.0,137170.57254323902,137500.0,141174.23461417475,133825.76538582525,28.03753062052519,69.55773871958651,-1228821000.0,4000.0,173154573.04829282
2016-06-16,135500.0,136000.0,133500.0,134500.0,399199,136600.0,136280.3816954927,136600.0,140624.92235949961,132575.07764050039,20.492732007423427,64.69312084514229,-399199000.0,3500.0,-508164082.88899696
2016-06-17,136000.0,136500.0,133500.0,134500.0,328695,135700.0,135686.92113032847,135700.0,138986.335345031,132413.664654969,20.492732007423427,64.60171320197142,0.0,2750.0,-668730064.2769926
2016-06-20,136000.0,138500.0,135500.0,136500.0,305307,135900.0,135957.947420219,135900.0,139246.6401061363,132553.3598938637,74.78178322182441,63.81849532813609,610614000.0,3000.0,1096705024.4385872
2016-06-21,136500.0,139000.0,135500.0,138000.0,353879,135800.0,136638.63161347932,135800.0,138766.47939483827,132833.52060516173,87.5418106448223,55.62991141257531,530818500.0,3250.0,1106247324.761779
2016-06-22,138500.0,141500.0,138500.0,140000.0,413267,136700.0,137759.08774231953,136700.0,141422.28758124704,131977.71241875296,94.697045318344,63.404936816267494,826534000.0,3250.0,1121773885.2644281
2016-06-23,140500.0,141500.0,140000.0,141000.0,273960,138000.0,138839.39182821303,138000.0,143244.04424085075,132755.95575914925,96.6316328312014,62.540011259939924,273960000.0,2250.0,1203466001.799253
2016-06-24,140500.0,142000.0,134500.0,139500.0,901574,139000.0,139059.59455214202,139000.0,142535.53390593274,135464.46609406726,46.137230250627915,51.66840641818443,-1352361000.0,4500.0,-834526143.0901451
2016-06-27,141000.0,144000.0,139500.0,141500.0,1031506,140000.0,139873.06303476135,140000.0,142738.61278752584,137261.38721247416,77.4957995417326,54.80787980446566,2063012000.0,6000.0,-276401244.1585132
2016-06-28,141500.0,142000.0,138500.0,139000.0,570526,140200.0,139582.04202317423,140200.0,142273.64413533278,138126.35586466722,31.560289408249318,46.17995107977411,-1426315000.0,4000.0,303345113.0574789
2016-06-29,140000.0,140000.0,137500.0,139000.0,436045,140000.0,139388.0280154495,140000.0,142345.2078799117,137654.7921200883,31.560289408249318,47.16944163975627,0.0,3000.0,-890103221.3554485
2016-06-30,138000.0,138500.0,135500.0,135500.0,2700499,138900.0,138092.01867696634,138900.0,143224.34966208792,134575.65033791208,7.306652644139092,35.05294323782334,-9451746500.0,2750.0,-527205748.1072189
2016-07-01,136500.0,138000.0,136000.0,137000.0,388387,138400.0,137728.0124513109,138400.0,142949.72526643093,133850.27473356907,44.11694375495276,39.70495513782413,582580500.0,2500.0,-97204257.43538462
2016-07-04,138000.0,139500.0,137000.0,137000.0,518981,137500.0,137485.34163420726,137500.0,140500.0,134500.0,44.11694375495276,40.30206334712035,0.0,2250.0,301070752.1084592
2016-07-05,136500.0,137000.0,134500.0,135000.0,389267,136700.0,136656.89442280485,136700.0,139830.4951684997,133569.5048315003,14.149260790736406,40.40695854465845,-778534000.0,2500.0,-501720134.35250455
2016-07-06,134000.0,134500.0,129000.0,130000.0,1098353,134900.0,134437.92961520323,134900.0,140661.94411635518,129138.05588364483,3.2183804926140738,37.669108234575624,-5491765000.0,4000.0,-1804290404.3755136
2016-07-07,131500.0,132500.0,130500.0,131000.0,351312,134000.0,133291.95307680217,134000.0,140633.2495807108,127366.7504192892,26.065382058515908,37.75410279732244,351312000.0,3750.0,-1072661334.191819
2016-07-08,131000.0,133000.0,129000.0,130500.0,472095,132700.0,132361.30205120143,132700.0,138928.96460095898,126471.03539904102,21.087344032466007,34.113058478559296,-236047500.0,3000.0,-282983589.43733186
2016-07-11,130500.0,132000.0,130500.0,131000.0,395952,131500.0,131907.53470080096,131500.0,135500.0,127500.0,42.89824357665795,34.272076931263086,197976000.0,2750.0,-164467548.40554696
2016-07-12,131500.0,133000.0,131000.0,132000.0,401323,130900.0,131938.35646720065,130900.0,132383.23969741914,129416.76030258086,72.88064007591466,34.03488234396002,401323000.0,1750.0,234236112.90944377
2016-07-13,133000.0,135500.0,132500.0,135500.0,567236,132000.0,133125.57097813376,132000.0,136062.01920231798,127937.98079768202,94.19967188516534,35.82354888018871,1985326000.0,2500.0,715762283.6164291
2016-07-14,134000.0,134500.0,131000.0,131500.0,688220,132100.0,132583.7139854225,132100.0,136062.3225512318,128137.67744876821,33.68072228312032,36.719765117822966,-2752880000.0,3250.0,211031451.80976218
2016-07-15,132000.0,134000.0,132000.0,133000.0,608594,132600.0,132722.47599028167,132600.0,136163.70593624108,129036.2940637589,55.24533173636495,33.52605032629735,912891000.0,2750.0,-276770655.0061064
2016-07-18,133000.0,134000.0,131000.0,132000.0,417748,132800.0,132481.6506601878,132800.0,136009.36130717624,129590.63869282376,38.537392894241606,34.17419274445305,-417748000.0,2500.0,-138455784.5276678
2016-07-19,131500.0,132000.0,130000.0,130000.0,630163,132400.0,131654.43377345853,132400.0,136486.5633483405,128313.43665165949,17.439890688645704,33.59609381487081,-1260326000.0,2500.0,-417567724.78407395
2016-07-20,129500.0,131000.0,129000.0,129500.0,513880,131200.0,130936.28918230569,131200.0,134080.97205817758,128319.02794182241,13.692008880174,43.872087832431625,-256940000.0,2000.0,-432631612.224146
2016-07-21,130000.0,131000.0,128500.0,130000.0,459440,130900.0,130624.19278820379,130900.0,133933.1501776206,127866.84982237939,39.63655766798983,38.23171534253334,229720000.0,2250.0,-262615547.2405706
2016-07-22,130000.0,130500.0,129000.0,129000.0,364418,130100.0,130082.79519213585,130100.0,132380.35085019827,127819.64914980173,17.996845190794588,31.810759500126863,-364418000.0,2000.0,-68017586.62719785
2016-07-25,129500.0,136000.0,129500.0,135500.0,1182857,130800.0,131888.53012809056,130800.0,136119.77443130815,125480.22556869185,89.87289541231257,43.406236167858744,7688570500.0,4000.0,824275461.8690176
2016-07-26,135000.0,139500.0,134000.0,136000.0,1125762,132000.0,133259.0200853937,132000.0,138892.0243760451,125107.97562395489,91.07623550433973,57.19664650654179,562881000.0,6000.0,1801391406.4470015
