SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
HDFC,EQ,1805,1826,1781.35,1787.45,1790,1809.3,5383998,9683993674,11-Jun-20,185203
HDFC,EQ,1710,1809,1710,1792.2,1790,1787.45,5936632,10441025680,12-Jun-20,233124
HDFC,EQ,1786.95,1805.25,1726,1751.65,1752,1792.2,5082387,8905360148,15-Jun-20,179412
HDFC,EQ,1785,1834,1768.05,1821.9,1820,1751.65,7453412,13494649114,16-Jun-20,246998
HDFC,EQ,1819,1847.15,1786,1794.65,1793.4,1821.9,6816822,12406472037,17-Jun-20,192356
HDFC,EQ,1790,1869,1787.3,1855.95,1847.5,1794.65,5334835,9767504642,18-Jun-20,189444
HDFC,EQ,1854,1867.5,1814,1835.1,1840.3,1855.95,12199449,22409404203,19-Jun-20,226788
HDFC,EQ,1850.8,1874.2,1813.1,1819.4,1820.5,1835.1,4782899,8791308098,22-Jun-20,179418
HDFC,EQ,1820,1845,1803.05,1838.1,1843.15,1819.4,5043383,9189697466,23-Jun-20,209547
HDFC,EQ,1825,1869,1788.6,1797.75,1797.65,1838.1,7029207,12908465797,24-Jun-20,190784
HDFC,EQ,1782.2,1811,1761.9,1777.8,1775.95,1797.75,5939864,10614080664,25-Jun-20,206434
HDFC,EQ,1793.85,1799.9,1752.4,1769.35,1772,1777.8,5731517,10139812237,26-Jun-20,156336
HDFC,EQ,1755,1775,1726.25,1741.15,1742.75,1769.35,3948941,6867005320,29-Jun-20,116201
HDFC,EQ,1751.15,1792.7,1747.2,1754.65,1761,1741.15,6325246,11202532937,30-Jun-20,180511
HDFC,EQ,1764,1844.8,1760.4,1835.15,1836.8,1754.65,6991685,12689494940,01-Jul-20,227684
HDFC,EQ,1852.95,1899,1842.6,1889.45,1892.85,1835.15,6480519,12162214412,02-Jul-20,202734
HDFC,EQ,1905.55,1908,1867.3,1885.2,1883,1889.45,4430264,8350618471,03-Jul-20,150339
HDFC,EQ,1903.25,1909.25,1864.55,1868.7,1871.55,1885.2,5073705,9592857013,06-Jul-20,130366
HDFC,EQ,1880,1892.35,1857,1886.75,1883.85,1868.7,4157365,7816606427,07-Jul-20,132982
HDFC,EQ,1895,1907,1871,1886.05,1872,1886.75,2885754,5462703207,08-Jul-20,112635
HDFC,EQ,1871.3,1947.9,1865,1941.85,1944.5,1886.05,6703324,12934045671,09-Jul-20,174261
HDFC,EQ,1915,1931.9,1876.25,1886,1888.5,1941.85,3853348,7320788674,10-Jul-20,153438
HDFC,EQ,1905,1907.2,1840,1845.55,1853.65,1886,3403604,6339056787,13-Jul-20,163322
HDFC,EQ,1825,1825.3,1770.5,1791.6,1793.1,1845.55,5529793,9909526729,14-Jul-20,212015
HDFC,EQ,1809,1821.9,1782,1789.9,1797,1791.6,3994980,7203769834,15-Jul-20,147688
HDFC,EQ,1792,1794.7,1750,1787.8,1790,1789.9,4230162,7504975485,16-Jul-20,154071
HDFC,EQ,1800,1821.95,1784.05,1805.85,1812.05,1787.8,4240987,7661742109,17-Jul-20,113416
HDFC,EQ,1844,1844,1801,1806.05,1804.05,1805.85,3915997,7112184283,20-Jul-20,142802
HDFC,EQ,1816.5,1900.95,1815,1883.65,1887,1806.05,6884035,12870275135,21-Jul-20,236947
HDFC,EQ,1895.5,1898.95,1851.5,1881.05,1897.7,1883.65,5538884,10369413957,22-Jul-20,199916
HDFC,EQ,1881.05,1910,1871.6,1875.8,1872.25,1881.05,3647242,6900158054,23-Jul-20,121783
HDFC,EQ,1854,1857.8,1817,1841.3,1841,1875.8,3309356,6069531975,24-Jul-20,148129
