Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Dec-10,292,292,278.5,281.92,1412.537255,163561,5771,231036006,38680,23.65,67.5,-50.4
06-Dec-10,283.71,284.46,275.2,276.51,1400.864855,93522,4414,131011683,17006,18.18,46.3,-36
07-Dec-10,276.4,277,261.35,264.96,1327.025802,276022,12018,366288316,102923,37.29,78.25,-57.2
08-Dec-10,263.88,263.88,248.8,250.21,1270.39825,472048,18366,599688953,157015,33.26,75.4,-68.35
09-Dec-10,252.58,259.92,246.27,249,1273.323879,581526,15041,740470942,184849,31.79,68.25,-17.9
10-Dec-10,250.1,265.79,249.6,264.61,1298.964808,311601,12354,404758733,56564,18.15,80.95,72.55
13-Dec-10,269.2,271,258.92,264.88,1323.840044,290599,11246,384706593,33897,11.66,60.4,-21.6
14-Dec-10,266.4,266.8,258.02,260.65,1302.935115,272453,10745,354988581,43695,16.04,43.9,-28.75
15-Dec-10,260.4,264.2,256.2,259.25,1300.292519,196100,7033,254987363,23610,12.04,40,-5.75
16-Dec-10,259.2,263.8,257.31,261.85,1305.749683,205080,7413,267783145,44691,21.79,32.45,13.25
20-Dec-10,261.82,261.82,253.02,254.11,1281.283801,191613,7113,245510633,61577,32.14,44,-38.55
21-Dec-10,255.8,264.54,255,263.43,1308.569489,242814,8802,317738992,44174,18.19,47.7,38.15
22-Dec-10,265.6,266,260.83,262.04,1316.311535,151569,5213,199512023,24780,16.35,25.85,-17.8
23-Dec-10,264.81,264.81,261.9,262.93,1314.025012,80761,3040,106121974,9018,11.17,14.55,-9.4
24-Dec-10,261,265,260.2,264.11,1314.596953,92091,2943,121062548,12764,13.86,24,15.55
27-Dec-10,266,266.18,262.2,263.18,1318.528115,108908,2912,143598260,10529,9.67,19.9,-14.1
28-Dec-10,264.6,264.6,257.2,257.77,1298.328041,120055,2946,155870773,46410,38.66,37,-34.15
29-Dec-10,259.3,262.6,258.2,262.1,1305.263904,129168,3406,168598328,38374,29.71,22,14
30-Dec-10,263.74,266.95,261.2,265.87,1319.901949,113410,3685,149690080,21674,19.11,28.75,10.65
31-Dec-10,265.6,271.5,265.6,269.9,1348.728824,98438,3797,132766168,21967,22.32,29.5,21.5
03-Jan-11,271.45,274.4,268.43,273.52,1356.834172,320779,4567,435243909,221061,68.91,29.85,10.35
04-Jan-11,274,275.4,268.47,269.48,1351.482721,211118,4131,285322329,120872,57.25,34.65,-22.6
05-Jan-11,269.02,269.72,260.8,262.17,1316.784239,182401,5241,240182762,66107,36.24,44.6,-34.25
06-Jan-11,264.41,264.41,260.01,261.48,1307.749201,120790,3830,157963026,29942,24.79,22,-14.65
07-Jan-11,261.34,261.34,252.53,256.05,1281.117359,290228,8756,371816129,96638,33.3,44.05,-26.45
10-Jan-11,256.6,260.96,249.77,251.24,1279.68983,197695,7354,252988281,47440,24,55.95,-26.8
11-Jan-11,252.6,263.6,252.56,259.53,1283.792475,287218,9408,368728307,110174,38.36,55.2,34.65
12-Jan-11,262.4,264.22,258.1,262.59,1305.934729,316662,8340,413539903,119655,37.79,30.6,0.95
13-Jan-11,262.8,265.36,253,253.84,1286.937723,151003,5890,194331457,30453,20.17,61.8,-44.8
14-Jan-11,255.8,255.8,239.2,240.27,1236.889679,365543,14093,452136364,76810,21.01,83,-77.65
17-Jan-11,244.4,247.92,240.31,245.51,1225.442157,295990,12406,362718624,22928,7.75,38.05,5.55
18-Jan-11,246,259.31,246,255.84,1273.183536,335318,13453,426921357,79906,23.83,66.55,49.2
19-Jan-11,258,259.32,253.45,256.2,1282.734055,165196,6890,211902535,14739,8.92,29.35,-9
20-Jan-11,254.94,265.6,251.01,257.15,1285.142247,358917,11034,461259400,63752,17.76,72.95,11.05
21-Jan-11,255,259,253.25,256.88,1283.377388,275886,7933,354065854,60525,21.94,28.75,9.4
24-Jan-11,257,268.6,257,264.42,1325.58836,290200,11297,384685742,65383,22.53,58,37.1
25-Jan-11,265.05,268.94,258.62,259.62,1319.61368,354988,12471,468447021,40991,11.55,51.6,-27.15
27-Jan-11,261.8,265.1,257.76,259.78,1317.80436,291985,5276,384779106,182224,62.41,36.7,-10.1
28-Jan-11,258.8,260.79,248.8,250.66,1262.795425,257905,9542,325681254,90787,35.2,59.95,-40.7
31-Jan-11,249.4,252.88,246.4,249.35,1247.487261,295246,9030,368315624,67497,22.86,32.4,-0.25
01-Feb-11,250.1,251.36,246.72,248.36,1245.871827,153207,6084,190876285,28845,18.83,23.2,-8.7
02-Feb-11,251,252,243.4,244.94,1231.183753,208524,7180,256731361,49268,23.63,43,-30.3
03-Feb-11,244.8,252.6,243.41,251.12,1247.545891,176700,6347,220441359,29795,16.86,45.95,31.6
04-Feb-11,251,253.56,242.2,244.08,1238.460489,281110,9525,348143628,71143,25.31,56.8,-34.6
07-Feb-11,247.2,248.39,243.21,245.75,1229.535456,122503,4330,150621782,11268,9.2,25.9,-7.25
08-Feb-11,246,246.6,237,238.3,1200.197616,152599,5434,183148956,32392,21.23,48,-38.5
09-Feb-11,237.6,238.6,229.8,231.89,1172.48988,199700,6829,234146229,35615,17.83,44,-28.55
10-Feb-11,232,238.8,230.4,233.17,1169.916332,146030,6250,170842882,11122,7.62,42,5.85
11-Feb-11,235,245.78,232.64,244.4,1193.450486,185926,6814,221893475,33911,18.24,65.7,47
14-Feb-11,247,255.8,242.07,254.26,1252.443471,149782,4966,187593488,37915,25.31,68.65,36.3
15-Feb-11,255,257.6,250.22,255.13,1271.567359,168722,6398,214541388,30369,18,36.9,0.65
16-Feb-11,254,260.39,254,259.17,1293.239206,137212,5272,177447938,11400,8.31,31.95,25.85
17-Feb-11,260.2,266,258.4,263.38,1310.280424,159430,5636,208898008,41073,25.76,38,15.9
18-Feb-11,263.8,268.2,257.32,258.59,1312.512697,207528,7411,272383135,31504,15.18,54.4,-26.05
21-Feb-11,257.6,262.18,255.32,261.67,1296.873368,102375,4371,132767411,9376,9.16,34.3,20.35
22-Feb-11,258.6,258.78,251.78,252.94,1273.619083,117813,4836,150048885,29030,24.64,35,-28.3
23-Feb-11,252,255.74,250.2,250.97,1263.581625,143185,6179,180925935,40676,28.41,27.7,-5.15
24-Feb-11,250.88,250.88,237,238.31,1211.975983,183286,7994,222138230,58939,32.16,69.4,-62.85
25-Feb-11,242,247.82,238.72,246.14,1214.324777,172460,7013,209422451,21615,12.53,45.5,20.7
28-Feb-11,247.4,258.1,242.03,244.78,1251.9377,152360,7395,190745228,15469,10.15,80.35,-13.1
01-Mar-11,246.6,259.8,246.6,257.63,1267.476204,171481,6713,217348087,31148,18.16,66,55.15
03-Mar-11,256.94,263.79,252.47,260.93,1289.486636,330019,11630,425555090,39084,11.84,56.6,19.95
04-Mar-11,264,268.1,262.8,265.66,1328.511919,346791,8957,460715977,101615,29.3,26.5,8.3
07-Mar-11,261,262,254,256.86,1283.868018,154711,6379,198628505,31002,20.04,40,-20.7
08-Mar-11,257.6,264.65,257,262.65,1304.677876,136885,5257,178590831,14495,10.59,38.25,25.25
09-Mar-11,263,265.92,258.45,259.99,1309.843857,195123,6693,255580663,29220,14.98,37.35,-15.05
10-Mar-11,257.43,258.48,255.13,257.05,1282.700827,110585,4240,141847471,17609,15.92,16.75,-1.9
11-Mar-11,254.6,259.18,251.74,253.05,1273.778351,164688,5875,209776009,29837,18.12,37.2,-7.75
14-Mar-11,252.64,259.1,252.64,258.11,1283.327953,100734,3678,129274758,23980,23.81,32.3,27.35
15-Mar-11,251,259.53,249,256.23,1278.752206,171348,6505,219111633,17426,10.17,52.65,26.15
16-Mar-11,258,264.8,258,263.53,1313.802429,239939,7720,315232441,66768,27.83,34,27.65
17-Mar-11,260.6,265.4,257.56,258.54,1304.592103,188290,6066,245641647,23948,12.72,39.2,-10.3
18-Mar-11,261,261,252.62,254.25,1276.556636,144802,5353,184847954,33986,23.47,41.9,-33.75
21-Mar-11,256.8,258.19,252.4,255.62,1277.002559,103954,3382,132749524,12705,12.22,28.95,-5.9
22-Mar-11,258.4,260.58,255.8,258.96,1293.638584,95895,3874,124053472,14497,15.12,23.9,2.8
23-Mar-11,259,263.19,258,262.68,1308.962297,117178,3795,153381584,20295,17.32,25.95,18.4
24-Mar-11,262.68,266.8,261.6,263.3,1320.570358,131954,4691,174254541,19597,14.85,26,3.1
