Symbol,Open Price,High,Low,Close Price,Total Traded Quantity,Total Traded Value,Date,Average Trading Price
HDFC,2748.0,2812.0,2739.35,2798.5,4933523,13761630800.0,31-Aug-21,2789.4125151539783
HDFC,2790.0,2796.95,2736.6,2747.75,3084291,8511167124.0,01-Sep-21,2759.521434261553
HDFC,2756.9,2785.0,2737.25,2777.7,1734037,4791826197.0,02-Sep-21,2763.3932822656034
HDFC,2768.1,2784.15,2742.1,2758.6,1914438,5283434526.0,03-Sep-21,2759.7835636359077
HDFC,2765.0,2777.7,2741.2,2765.3,1729080,4775427924.0,06-Sep-21,2761.8316815878966
HDFC,2769.8,2853.65,2749.95,2837.0,4072518,11466298343.0,07-Sep-21,2815.5304268759523
HDFC,2838.25,2852.0,2802.25,2829.3,2274494,6429755969.0,08-Sep-21,2826.895111176376
HDFC,2815.2,2853.85,2813.8,2830.1,1986913,5624903935.0,09-Sep-21,2830.9764619789594
HDFC,2844.0,2875.85,2833.3,2849.8,3283960,9374158866.0,13-Sep-21,2854.5289424962543
HDFC,2864.95,2869.0,2810.0,2818.05,2238463,6333869738.0,14-Sep-21,2829.5619530007866
HDFC,2805.7,2843.0,2795.0,2815.45,1924840,5423022711.0,15-Sep-21,2817.388827642817
HDFC,2800.0,2823.9,2798.5,2812.35,1831201,5151522833.0,16-Sep-21,2813.1935451105587
HDFC,2832.25,2851.95,2801.7,2825.65,4447386,12573392070.0,17-Sep-21,2827.1420717697993
HDFC,2795.3,2808.65,2733.0,2742.5,2057743,5695872943.0,20-Sep-21,2768.0195937976705
HDFC,2760.0,2780.7,2724.75,2774.35,2119275,5834171388.0,21-Sep-21,2752.90907881233
HDFC,2765.0,2773.95,2717.7,2734.7,3054547,8362061151.0,22-Sep-21,2737.5781583979556
HDFC,2756.1,2828.5,2730.0,2817.4,3720965,10325269211.0,23-Sep-21,2774.8901725762
HDFC,2818.6,2850.0,2800.0,2839.0,2433032,6876856565.0,24-Sep-21,2826.4554535246557
HDFC,2845.75,2869.4,2824.8,2839.8,2684448,7646929876.0,27-Sep-21,2848.6042106235623
HDFC,2842.0,2850.0,2760.95,2804.95,2645677,7437131096.0,28-Sep-21,2811.0502892076397
HDFC,2786.5,2792.95,2739.1,2746.45,3333322,9204268169.0,29-Sep-21,2761.289839085453
HDFC,2729.9,2785.0,2721.2,2754.3,4186802,11549652775.0,30-Sep-21,2758.585855027298
HDFC,2738.6,2752.0,2693.6,2711.65,2462648,6680224604.0,01-Oct-21,2712.618532571443
HDFC,2711.65,2711.65,2711.65,2711.65,1626963,4411754219.0,04-Oct-21,2711.650000030732
HDFC,2740.15,2770.0,2720.6,2725.2,2170643,5948053491.0,04-Oct-21,2740.2265093799397
HDFC,2720.0,2754.95,2715.45,2741.45,2125952,5824477719.0,05-Oct-21,2739.70330421383
HDFC,2729.0,2795.0,2717.0,2750.95,3585605,9893855799.0,06-Oct-21,2759.326752110174
HDFC,2770.7,2774.95,2722.6,2727.0,2247842,6166765813.0,07-Oct-21,2743.4160465904633
HDFC,2731.0,2745.6,2716.0,2720.65,1719442,4693554852.0,08-Oct-21,2729.696524802814
HDFC,2739.0,2769.0,2726.8,2749.25,1773236,4875955872.0,11-Oct-21,2749.7501020732716
HDFC,2749.7,2767.0,2735.0,2755.1,1405800,3869637725.0,12-Oct-21,2752.623221653151
HDFC,2775.0,2775.0,2748.2,2765.6,1513606,4183727790.0,13-Oct-21,2764.0798133728326
HDFC,2758.3,2815.55,2751.85,2808.75,2737670,7635132472.0,14-Oct-21,2788.9162945132175
HDFC,2848.0,2848.0,2788.05,2811.5,2609969,7348608399.0,18-Oct-21,2815.5922154630957
HDFC,2825.0,2827.95,2800.0,2822.9,1994376,5620209609.0,19-Oct-21,2818.029102335768
HDFC,2833.0,2839.85,2773.4,2795.1,2106814,5900721420.0,20-Oct-21,2800.77948029584
HDFC,2814.0,2857.4,2797.85,2844.1,3747385,10600618097.0,21-Oct-21,2828.8041119340555
HDFC,2858.8,2938.35,2856.0,2903.95,4364342,12689013565.0,22-Oct-21,2907.428786515814
HDFC,2905.0,2919.0,2856.25,2896.15,3463553,10012339655.0,25-Oct-21,2890.771313446048
HDFC,2908.0,2934.0,2896.0,2911.65,2430141,7081674412.0,26-Oct-21,2914.1002155841984
HDFC,2920.05,2948.0,2901.4,2915.0,3136213,9180191682.0,27-Oct-21,2927.158226179153
HDFC,2891.0,2924.3,2863.15,2900.8,3302920,9555987109.0,28-Oct-21,2893.193631392828
HDFC,2891.0,2893.0,2791.2,2844.7,3830779,10897583766.0,29-Oct-21,2844.7435276219276
HDFC,2873.0,2947.9,2838.05,2887.95,4951039,14261320071.0,01-Nov-21,2880.470154042414
HDFC,2887.9,2917.25,2865.65,2900.05,4355642,12596624672.0,02-Nov-21,2892.0247972629522
HDFC,2908.0,2932.9,2872.0,2895.9,3731077,10818514374.0,03-Nov-21,2899.568777058206
HDFC,2899.05,2909.0,2895.05,2899.7,129087,374616869.8,04-Nov-21,2902.049546429927
HDFC,2929.0,3002.0,2906.15,2979.55,5481172,16210049011.0,08-Nov-21,2957.4056444497637
HDFC,2955.05,2966.95,2916.1,2941.6,2947787,8666818295.0,09-Nov-21,2940.1100876691567
HDFC,2920.0,2951.0,2886.05,2945.6,3294239,9620030818.0,10-Nov-21,2920.258918068786
HDFC,2932.0,2932.0,2885.15,2908.85,2480671,7204722997.0,11-Nov-21,2904.344428180924
HDFC,2925.0,2998.0,2905.45,2992.65,2802442,8298595510.0,12-Nov-21,2961.201519960092
HDFC,3004.0,3021.1,2971.0,3000.85,3248126,9719566427.0,15-Nov-21,2992.361265234169
HDFC,2986.2,2999.25,2957.7,2975.45,4242014,12617929621.0,16-Nov-21,2974.513903301592
HDFC,2956.1,2977.2,2932.25,2948.4,2398355,7081640387.0,17-Nov-21,2952.707329398692
HDFC,2936.1,2964.05,2916.75,2925.4,3481704,10223816402.0,18-Nov-21,2936.440433190185
HDFC,2902.0,2934.0,2885.15,2894.85,3951901,11463776122.0,22-Nov-21,2900.825734753983
HDFC,2855.0,2915.0,2855.0,2906.5,3340056,9671815412.0,23-Nov-21,2895.7045666300205
HDFC,2905.05,2923.0,2864.5,2883.55,2318225,6730622393.0,24-Nov-21,2903.3516561162096
HDFC,2890.45,2890.45,2847.0,2867.75,2221089,6377828537.0,25-Nov-21,2871.4871565254703
HDFC,2820.35,2856.0,2723.0,2741.7,3353278,9278778701.0,26-Nov-21,2767.0770812917985
HDFC,2745.0,2747.5,2682.3,2713.8,3571428,9673614458.0,29-Nov-21,2708.612481617997
HDFC,2665.0,2764.9,2656.0,2673.1,7628539,20554477575.0,30-Nov-21,2694.4186265548356
HDFC,2712.8,2757.45,2696.2,2703.65,3847384,10463805533.0,01-Dec-21,2719.719563474818
HDFC,2701.05,2814.95,2701.05,2807.8,4570690,12736696605.0,02-Dec-21,2786.6025928251534
HDFC,2790.0,2823.95,2765.0,2771.65,2961572,8255284192.0,03-Dec-21,2787.466991179009
HDFC,2774.5,2799.9,2760.0,2768.8,1683131,4681792853.0,06-Dec-21,2781.597423492289
HDFC,2795.0,2838.05,2769.45,2817.5,2543784,7165747017.0,07-Dec-21,2816.963632525403
HDFC,2825.25,2864.0,2820.05,2853.0,1772235,5049654539.0,08-Dec-21,2849.3143059470103
HDFC,2872.0,2877.75,2829.05,2842.05,2036491,5801818223.0,09-Dec-21,2848.928977834913
HDFC,2823.3,2838.25,2788.5,2808.75,3455657,9723684187.0,10-Dec-21,2813.8452939629137
HDFC,2832.8,2838.8,2766.05,2771.85,2661378,7420757036.0,13-Dec-21,2788.313811867386
HDFC,2750.0,2764.0,2720.6,2751.95,2039433,5592313111.0,14-Dec-21,2742.09209667589
HDFC,2755.0,2759.95,2715.0,2721.8,1355100,3698171652.0,15-Dec-21,2729.076564091211
HDFC,2749.4,2755.25,2687.8,2699.6,3149777,8535331537.0,16-Dec-21,2709.820897479409
HDFC,2700.0,2712.3,2611.0,2617.35,4503515,11879186174.0,17-Dec-21,2637.758767096368
HDFC,2594.0,2594.0,2506.05,2550.3,3483707,8852280116.0,20-Dec-21,2541.0518496532572
HDFC,2583.75,2588.9,2530.0,2540.85,2502122,6399341670.0,21-Dec-21,2557.5658061437452
HDFC,2551.95,2557.15,2520.15,2539.0,2763684,7008496445.0,22-Dec-21,2535.9253970424984
HDFC,2558.0,2582.0,2543.35,2571.15,1777068,4564098094.0,23-Dec-21,2568.3305838606066
HDFC,2585.0,2585.0,2525.5,2534.55,1033480,2628879201.0,24-Dec-21,2543.7156026241437
HDFC,2520.0,2564.9,2509.45,2558.85,915233,2329795204.0,27-Dec-21,2545.576048940543
HDFC,2579.8,2587.85,2548.0,2565.35,1634180,4191835123.0,28-Dec-21,2565.1000030596383
HDFC,2575.0,2581.0,2551.0,2563.55,1474656,3785067589.0,29-Dec-21,2566.746135369876
HDFC,2561.3,2579.8,2545.4,2563.7,1558019,3997637290.0,30-Dec-21,2565.846302259472
HDFC,2565.0,2608.65,2561.0,2586.45,2289067,5936020239.0,31-Dec-21,2593.205108893711
HDFC,2594.0,2640.0,2587.1,2636.4,1256497,3290905540.0,03-Jan-22,2619.111338904908
HDFC,2645.0,2678.7,2620.35,2675.3,1846249,4899339738.0,04-Jan-22,2653.6722500594447
HDFC,2680.95,2695.45,2652.3,2673.65,3743882,10018252554.0,05-Jan-22,2675.8996554912787
HDFC,2646.35,2654.75,2603.5,2620.4,4616700,12105100750.0,06-Jan-22,2622.024552169298
HDFC,2606.05,2618.3,2585.0,2596.7,6185361,16058237795.0,07-Jan-22,2596.168242241641
HDFC,2601.9,2665.05,2601.9,2659.65,5328083,13993259963.0,10-Jan-22,2626.3216926237824
HDFC,2664.0,2729.0,2664.0,2710.95,4170007,11265543697.0,11-Jan-22,2701.564696893794
HDFC,2736.0,2752.0,2713.05,2737.5,2695634,7373367877.0,12-Jan-22,2735.300073006944
HDFC,2750.0,2762.0,2726.1,2756.0,2011413,5525183513.0,13-Jan-22,2746.916477620459
HDFC,2712.0,2731.6,2687.3,2712.45,1765906,4783840335.0,14-Jan-22,2709.000555522208
HDFC,2710.6,2733.1,2692.5,2702.7,1614989,4371385432.0,17-Jan-22,2706.758641699727
HDFC,2713.0,2713.55,2656.8,2662.5,2086266,5594002544.0,18-Jan-22,2681.3467429369025
HDFC,2681.0,2698.85,2608.1,2620.25,1793748,4713326731.0,19-Jan-22,2627.6415254539656
HDFC,2612.65,2630.0,2543.4,2569.3,3759429,9670953095.0,20-Jan-22,2572.452650389195
HDFC,2553.5,2605.35,2542.05,2592.95,3952946,10189204401.0,21-Jan-22,2577.6229680344736
HDFC,2571.65,2601.8,2510.35,2539.8,2340062,5976368049.0,24-Jan-22,2553.9357713599043
HDFC,2500.0,2540.7,2473.8,2530.6,4528568,11350226971.0,25-Jan-22,2506.361165604668
HDFC,2505.6,2514.0,2448.6,2503.35,6600059,16369774021.0,27-Jan-22,2480.2466191590106
HDFC,2513.7,2556.8,2488.7,2516.5,4885166,12373087203.0,28-Jan-22,2532.787463721806
HDFC,2541.8,2561.4,2513.15,2521.0,3306726,8369409170.0,31-Jan-22,2531.0259059867676
HDFC,2552.6,2596.0,2510.3,2565.35,2980741,7649429323.0,01-Feb-22,2566.28446517158
HDFC,2583.2,2623.3,2580.7,2612.95,4160178,10823813428.0,02-Feb-22,2601.766902281585
HDFC,2613.0,2620.0,2520.0,2527.8,4647089,11829214750.0,03-Feb-22,2545.5106949748542
HDFC,2546.5,2547.0,2497.0,2503.25,4404184,11073056373.0,04-Feb-22,2514.2129332017007
HDFC,2488.5,2512.1,2420.0,2428.15,3664108,8980613667.0,07-Feb-22,2450.968603272611
HDFC,2441.0,2452.0,2405.0,2414.6,6127473,14822659697.0,08-Feb-22,2419.0493694545858
HDFC,2432.0,2442.5,2402.5,2435.35,7141774,17288694746.0,09-Feb-22,2420.7843521791647
HDFC,2462.0,2505.7,2441.6,2476.55,6346218,15711797904.0,10-Feb-22,2475.773429781328
HDFC,2449.95,2449.95,2417.1,2426.35,4062444,9872488535.0,11-Feb-22,2430.1845231589655
HDFC,2390.0,2390.0,2290.0,2296.8,5903697,13730084885.0,14-Feb-22,2325.6757392867553
HDFC,2319.75,2345.0,2286.85,2340.25,9153706,21216697286.0,15-Feb-22,2317.825947872916
HDFC,2341.0,2403.85,2341.0,2363.85,8005225,18996437537.0,16-Feb-22,2373.0048233497496
