Date,Open Price,High,Low,Close Price,Total Traded Quantity
2004-03-26,81.802345,83.59375,81.71875,82.960938,27476544.0
2004-03-29,82.810936,83.1875,80.578125,81.453125,19412864.0
2004-03-30,82.1875,82.765625,78.453125,78.72422,29782976.0
2004-03-31,74.000778,78.890625,74.000778,77.159378,42513600.0
2004-04-01,77.360153,80.375,77.360153,79.859375,26651008.0
2004-04-02,80.078125,80.453125,77.5,78.125,36836224.0
2004-04-05,78.875,81.851563,78.75,80.849998,32154304.0
2004-04-06,92.890625,92.890625,81.9375,83.014061,64156288.0
2004-04-07,84.375,84.375,82.34375,83.207809,26629568.0
2004-04-08,84.21875,84.359375,82.5,83.001564,24899584.0
2004-04-09,83.001564,83.001564,83.001564,83.001564,0.0
2004-04-12,83.4375,83.71875,79.56797,80.363281,36248128.0
2004-04-13,92.014847,92.014847,83.609375,85.839844,78408320.0
2004-04-14,85.839844,85.839844,85.839844,85.839844,0.0
2004-04-15,87.151566,87.151566,82.814842,83.381248,71227328.0
2004-04-16,84.296875,85.421875,83.836716,84.216408,36977024.0
2004-04-19,84.375,84.375,83.079689,83.764847,22941888.0
2004-04-20,84.140625,84.839066,83.769531,84.082031,19525184.0
2004-04-21,84.046875,85.078125,83.59375,84.773438,21904064.0
2004-04-22,84.84375,85.125,83.939064,84.153122,14137600.0
2004-04-23,84.6875,85.224998,82.658592,82.924217,34524800.0
2004-04-26,82.924217,82.924217,82.924217,82.924217,0.0
2004-04-27,82.778122,82.778122,79.765625,80.24453,28616000.0
2004-04-28,80.390625,80.765625,79.305466,79.722656,28258624.0
2004-04-29,79.671875,80.682816,78.296875,78.730469,43605184.0
2004-04-30,79.375,81.137497,78.954689,80.408592,30273216.0
2004-05-03,79.235939,81.545311,79.235939,81.009377,22498048.0
2004-05-04,81.640625,82.40625,81.15625,81.561722,17846592.0
2004-05-05,82.015625,82.46875,81.41172,82.201561,20423104.0
2004-05-06,82.8125,85.745316,82.502342,82.769531,14392768.0
2004-05-07,82.421875,82.8125,81.328125,81.552345,11201984.0
2004-05-10,80.46875,80.9375,79.84375,80.085159,14165504.0
2004-05-11,79.671875,80.0,78.359375,78.845314,26232064.0
2004-05-12,78.90625,80.3125,78.602341,79.427345,24579968.0
2004-05-13,79.667191,82.34375,76.578125,81.152344,33562048.0
2004-05-14,81.640625,81.967186,79.1875,79.527344,31301120.0
2004-05-17,78.901566,78.901566,64.454689,70.606247,31777600.0
2004-05-18,74.171875,77.689064,72.676559,76.264847,45230720.0
2004-05-19,78.28125,78.890625,75.625,77.697655,21176960.0
2004-05-20,79.125,79.125,76.828903,76.999222,18078592.0
2004-05-21,76.875,77.65625,75.875,76.720314,20265792.0
2004-05-24,78.125,83.357033,77.84922,83.105469,38852608.0
2004-05-25,82.417191,84.359375,80.75,83.684372,39751744.0
2004-05-26,84.078125,84.078125,81.921875,82.5625,23094400.0
2004-05-27,82.03125,84.171875,81.88047,82.777344,22419584.0
2004-05-28,82.421875,83.71875,78.315628,79.027344,35431808.0
2004-05-31,79.53125,82.03125,76.5625,81.264061,34813312.0
2004-06-01,81.274216,83.328125,81.274216,82.617966,28710336.0
2004-06-02,82.729691,83.981247,81.992966,83.398438,17547008.0
2004-06-03,83.75,84.140625,81.5,81.897659,30415040.0
2004-06-04,81.25,81.90625,80.5,81.521095,19523392.0
2004-06-07,82.1875,83.0,80.501564,81.365623,21086016.0
2004-06-08,81.640625,82.021873,80.017189,80.905472,31877952.0
2004-06-09,81.271095,81.934372,80.960938,81.59375,16769088.0
2004-06-10,81.948441,82.608597,81.015625,82.392967,16670208.0
2004-06-11,82.5,82.5,79.407028,79.853127,29788544.0
2004-06-14,79.685936,80.05703,77.847656,78.03125,22198208.0
2004-06-15,78.359375,79.921875,78.359375,79.408592,22293952.0
2004-06-16,80.46875,80.859375,79.708595,80.40625,21901504.0
2004-06-17,80.46875,81.5625,80.1875,81.242966,19065792.0
2004-06-18,81.25,82.775002,80.707031,82.257813,28632320.0
2004-06-21,82.421875,83.984375,82.268753,83.614845,26522560.0
2004-06-22,83.052345,84.256248,82.65625,83.991409,23141632.0
2004-06-23,84.296875,84.359375,82.734375,83.178123,26169152.0
2004-06-24,83.432816,84.984375,82.892189,84.517967,32614720.0
2004-06-25,84.53125,85.9375,83.859375,85.685936,28886528.0
2004-06-28,86.40625,87.78125,86.128906,87.467186,31393024.0
2004-06-29,87.578125,88.436722,86.890625,87.292191,44017472.0
2004-06-30,87.03125,87.8125,85.954689,86.314064,39124224.0
2004-07-01,87.1875,88.481247,84.949997,88.050003,28275440.0
2004-07-02,85.328125,89.4375,85.328125,88.959373,24930048.0
